model,best_params,best_seuil,score,train_score,val_score,test_score
RandomForestClassifier,"{'smote__sampling_strategy': 0.7905153185209077, 'smote__k_neighbors': 6, 'clf__n_estimators': 217, 'clf__max_depth': 6, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 5, 'clf__max_features': 0.7, 'clf__class_weight': 'balanced_subsample', 'clf__min_impurity_decrease': 0.005190078614732276, 'clf__ccp_alpha': 0.007114923519671561}",0.5,score_métier,0.5202637334048763,0.5222311650935343,0.5205443813921725
RandomForestClassifier,"{'smote__sampling_strategy': 0.7905153185209077, 'smote__k_neighbors': 6, 'clf__n_estimators': 217, 'clf__max_depth': 6, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 5, 'clf__max_features': 0.7, 'clf__class_weight': 'balanced_subsample', 'clf__min_impurity_decrease': 0.005190078614732276, 'clf__ccp_alpha': 0.007114923519671561}",0.5,recall,0.5434541792547835,0.5669687814702921,0.5444108761329305
RandomForestClassifier,"{'smote__sampling_strategy': 0.7905153185209077, 'smote__k_neighbors': 6, 'clf__n_estimators': 217, 'clf__max_depth': 6, 'clf__min_samples_split': 6, 'clf__min_samples_leaf': 5, 'clf__max_features': 0.7, 'clf__class_weight': 'balanced_subsample', 'clf__min_impurity_decrease': 0.005190078614732276, 'clf__ccp_alpha': 0.007114923519671561}",0.5,avg_precision,0.1582115788933107,0.1577247146613049,0.16048652357167234
LGBMClassifier,"{'smote__sampling_strategy': 0.4229516457885621, 'smote__k_neighbors': 7, 'clf__n_estimators': 31, 'clf__max_depth': 7, 'clf__learning_rate': 0.1579899687605962, 'clf__subsample': 0.9506261272255091, 'clf__colsample_bytree': 0.9245401203747202, 'clf__num_leaves': 193, 'clf__min_child_samples': 10, 'clf__reg_alpha': 4.572790891817268, 'clf__reg_lambda': 2.561832116461999, 'clf__class_weight': 'balanced'}",0.27,score_métier,0.670430802500752,0.5855060445680187,0.6112095738280678
LGBMClassifier,"{'smote__sampling_strategy': 0.4229516457885621, 'smote__k_neighbors': 7, 'clf__n_estimators': 31, 'clf__max_depth': 7, 'clf__learning_rate': 0.1579899687605962, 'clf__subsample': 0.9506261272255091, 'clf__colsample_bytree': 0.9245401203747202, 'clf__num_leaves': 193, 'clf__min_child_samples': 10, 'clf__reg_alpha': 4.572790891817268, 'clf__reg_lambda': 2.561832116461999, 'clf__class_weight': 'balanced'}",0.27,recall,0.6841893252769385,0.6331319234642497,0.6503524672708962
LGBMClassifier,"{'smote__sampling_strategy': 0.4229516457885621, 'smote__k_neighbors': 7, 'clf__n_estimators': 31, 'clf__max_depth': 7, 'clf__learning_rate': 0.1579899687605962, 'clf__subsample': 0.9506261272255091, 'clf__colsample_bytree': 0.9245401203747202, 'clf__num_leaves': 193, 'clf__min_child_samples': 10, 'clf__reg_alpha': 4.572790891817268, 'clf__reg_lambda': 2.561832116461999, 'clf__class_weight': 'balanced'}",0.27,avg_precision,0.23441781902266753,0.20146225576968047,0.21576723088882077
